A unique,early warning system,adolescents,remain aware of risks,
A non-invasive,dissolvable method,busy moms,remain beautiful,
A self-applied,pill,women & girls,remain confident,
A self-injecting,accessory,reproductive age groups,remain controllers,
A safe,sperm activated nano-technology,women & men through different ages ,remain discreet,
A wearable,food-supplement,IT savvy women,remain fearless,
A holistic,pill,young girls,remain free from tension,
An unobtrusive,drug,young women and men having unplanned sex,remain free from the possibility of pregnancies,
A removable,app,couples on their wedding night,remain fully in control of their contraception and sex pleasures,
An intimate,litmus test,women of all ages,remain healthy,
A pleasure enhancing,nail polish,recently married women,remain impenetrable,
A familiar,spray,sexually active women,remain in charge,
A long-acting,ointment,married women,remain in contol of their family plans,
A private,earring,couples,remain in control of their fertility,
A magical,fallopian tube implant,stabalising women,"remain in control of their fertility, without the need for a provider",
A self-removable,gastric depot pill,women and men,remain in control of their sensory experiences,
An effortless,bio-degradable coating for the vagina,women,remain in control of their sexual pleasures,
An external,gel,mothers,remain independent and without the need for a provider,
A small,injector,newly married couples,remain infertile indefinitely,
A user-controlled,booth,on-the-go women,remain more likely to adhere to their drug regimen,
A hassle-free,smart ring,professional women,remain physically active,
A reversible,formulation,,remain protected from STIs,
A self-administered,jelly-based bio-degradable,,remain protected from surprise pregnancies,
An easy-to-use,IUD,,remain protected in the short term,
A self-dissolving,beauty cream,,remain sexually desirable,
A self-inserted ,wearable,,remain shielded from their partner's sperm,
A not-so-secret,peristalsis sensor,,remain stress-free,
A long-lasting,pace maker,,remain tension-free,
A decorative,sperm neutralising contraceptive,,remain well,
A discreet,bio-app,,,
A fashionable,infrared delivery method,,,
A respectful,vaginal electrical field,,,
An attractive,clothing,,,
,henna patch,,,
,immunisation shot,,,
,phone-based method,,,
,pumping and suction device,,,
,radiation wave,,,
,sanitary product,,,
,underwear,,,
,vaccine,,,
,voice-activated method,,,